,User,Tweet
0,KTRTRS,RT PuttaVishnuVR If Honble nsitharaman ji an MP RS from KA amp a Union Minister can get 210 acres of Defence land transferred for 10
1,KTRTRS,RT PuttaVishnuVR ANI Response to an RTI query reveals that the SCB Chiefs not only allowed the illegal closure of roads by the LMAs b
2,KTRTRS,RT AnthKaal ANI Despite orders from Defence minister amp Army headquarters clearly said they cannot block roads in the areaYet they sti
3,KTRTRS,We will get it done KTRoffice please coordinate asap
4,KTRTRS,RT MinisterKTR Live MAampUD Minister KTRTRS speaking in Legislative Assembly
5,KTRTRS,Live Replying to a question on Strategic Nala Development Program SNDP in Hyderabad city
6,KTRTRS,RT CalvinnHobbes CalvinandHobbes
7,KTRTRS,RT trsharish From 92 to 56 our Maternal Mortality Rate defines our devotion towards our people We rank 3rd in the India after Kerala amp
8,KTRTRS,RT MinisterKTR Ministers KTRTRS amp chmallareddyMLA inaugurated a modern crematorium Vaikuntadhamam in Mallapur Uppal Mayor Gadwalvi
9,KTRTRS,RT MinisterKTR MAampUD Minister KTRTRS and Labour Minister chmallareddyMLA laid foundation stones for Uppal Flyover works Sewerage Treat
10,KTRTRS,RT MinisterKTR Ministers KTRTRS amp chmallareddyMLA inaugurated a theme park at Uppal Junction today GHMCOnline developed this theme pa
11,KTRTRS,RT MinisterKTR Live MAampUD Minister KTRTRS speaking after participating in various development works in Uppal Hyderabad
12,KTRTRS,We will do our best to assist KTRoffice please coordinate
13,KTRTRS,RT TheNaveena People who donot believe in Telangana CM KCRs announcement on jobs can apply for the 2crore jobs promised by PMModi says
14,KTRTRS,RT MinisterKTR Govts should handhold startups and innovators to reduce the carbon emissions to netzero And the private entities should
15,KTRTRS,RT MinisterKTR Minister KTRTRS has stated that with the introduction of Solar Power Policy and Electric Vehicles and Energy Storage Solu
16,KTRTRS,RT MinisterKTR Minister KTRTRS requested the private sector to work closely with the Govts in reducing carbon emissions to net zero Sr
