,User,Tweet
0,PMOIndia,2018 higher education PM narendramodi
1,PMOIndia,PM narendramodi
2,PMOIndia,Long term planning continuous commitment PM narendramodi
3,PMOIndia,PM narendramodi
4,PMOIndia,Olympics 7 Paralympics 19 PM narendramodi
5,PMOIndia,PM narendramodi
6,PMOIndia,12 2010 PM narendramodi
7,PMOIndia,PM narendramodi
8,PMOIndia,RT narendramodi Khel Mahakumbh has revolutionised the sports ecosystem Inaugurating the 11th edition
9,PMOIndia,We are seeing greater participation women in defence sector Be it Science Shiksha or Suraksha women are leading from the front PM narendramodi
10,PMOIndia,Stressfree training activities is need of the hour for strengthening the countrys security apparatus PM narendramodi
11,PMOIndia,Post independence there was a need of reforms in the countrys security apparatusA perception was developed that we have to be careful of the uniformed personnelBut it has transformed now When people see uniformed personnel now they get the assurance of help PM
12,PMOIndia,PM narendramodi
13,PMOIndia,RT narendramodi Delighted to address the convocation ceremony of Rashtriya Raksha University RakshaUni
14,PMOIndia,This is the land of Bapu and Sardar Vallabhbhai PatelBapu always talked about rural development selfreliant villagesToday as we are marking Amrit Mahotsav we must fulfil Bapus dream of Grameen Vikas PM narendramodi
15,PMOIndia,Watch LIVE
16,PMOIndia,PM narendramodi
17,PMOIndia,Vocal for Local PM narendramodi
18,PMOIndia,PM narendramodi
19,PMOIndia,21 PM narendramodi
20,PMOIndia,12 26 PM narendramodi
21,PMOIndia,80 70 PM
22,PMOIndia,PM narendramodi
23,PMOIndia,PM narendramodi
24,PMOIndia,PM narendramodi
25,PMOIndia,PM narendramodi
26,PMOIndia,RT narendramodi Addressing a seminar recognising the contributions of women saints in our society
27,PMOIndia,2070 Environment Friendly Projects Green Financing Aspects Study Implementation PM narendramodi
28,PMOIndia,Aspirations Natural Farming Organic Farming Financial Institutions PM narendramodi
29,PMOIndia,Aspirations MSMEs MSMEs Fundamental Reforms Reforms Success Financing Strengthen PM narendramodi
30,PMOIndia,Projects Financing Different Models PM narendramodi
31,PMOIndia,Foreign Capital Flows Infrastructure Investment NIIF Gift City DFI financial Economic growth PM
32,PMOIndia,RT narendramodi Speaking at a webinar on Financing for Growth amp Aspirational Economy
33,PMOIndia,PM narendramodi
34,PMOIndia,800 Knee Implant PM narendramodi
35,PMOIndia,PM narendramodi
36,PMOIndia,PM
37,PMOIndia,RT narendramodi Interacting with Jan Aushadhi Pariyojana beneficiaries Watch
38,PMOIndia,career goals set goals PM narendramodi
39,PMOIndia,PM narendramodi
40,PMOIndia,Mobile manufacturing 2 200 PM narendramodi
41,PMOIndia,defensive dependent psychology youth PM narendramodi
42,PMOIndia,PM
43,PMOIndia,aspirations represent innovate improve influence PM narendramodi
44,PMOIndia,economies startup ecosystem PM narendramodi
45,PMOIndia,Symbiosis University PM
46,PMOIndia,RT narendramodi Addressing the Golden Jubilee celebrations of Symbiosis University
47,PMOIndia,PM narendramodi
48,PMOIndia,PM narendramodi
49,PMOIndia,Integrated Command amp Control Center treatment plant PM
